"","Nombre","Altitud(msnm)","Superficie(km2)","Poblacion(hab)","Densidad_pob(hab/km2)","Latitud","Longitud","Pais"
"429","Berriozar",429,2.71,10426,3847.23,42.836111111111,-1.6713888888889,"España"
"430","Ocaña",730,147.9,11597,78.41,39.956944444444,-3.4966666666667,"España"
"431","Puerto Lápice",1500,54.85,924,16.85,39.324444444444,-3.4811111111111,"España"
"432","Quintanar de la Orden",695,87.87,11030,125.53,39.595833333333,-3.0469444444444,"España"
"433","Tembleque",637,223.07,1986,8.9,39.694722222222,-3.5041666666667,"España"
"434","Torralba de Calatrava",620,101.58,2977,29.31,39.016388888889,-3.75,"España"
"435","El Bosque",285,30.75,2145,69.76,36.757294,-5.5067224,"España"
"436","Ubrique",337,69.75,16597,237.95,36.6797472,-5.4451945,"España"
"437","Villamartín",167,210.3,12150,57.77,36.8591822,-5.6434544,"España"
"438","el Verger",25,8.16,4640,568.63,38.842777777778,-0.0094444444444444,"España"
"439","Avilés",8,26.81,78182,2916.15,43.556111111111,-5.9222222222222,"España"
"440","Mieres",2064,146.03,37959,259.94,43.25,-5.7766666666667,"España"
"441","Mataró",26,22,128265,5830.23,41.533333333333,2.45,"España"
"442","Premià de Dalt",142,6.5,10448,1607.38,41.508055555556,2.3458333333333,"España"
"443","Premià de Mar",8,1.96,28119,14346.43,41.4920085,2.3620172,"España"
"444","Vilassar de Dalt",135,9.01,9043,1003.66,41.5163595,2.3592879,"España"
"445","Vilassar de Mar",10,4.01,20837,5196.26,41.505277777778,2.3927777777778,"España"
"446","Cedeira",137,85.42,6640,77.73,43.65,-8.05,"España"
"447","Narón",4814,66.91,39115,0.58,37.21201,70.56661,"España"
"448","Rivas-Vaciamadrid",563,67.38,88150,1308.25,40.339444444444,-3.5180555555556,"España"
"449","Banyoles",172,11.1,19826,1786.13,42.119444444444,2.7663888888889,"España"
"450","Calella",5,8.01,19069,2380.65,41.616944444444,2.6641666666667,"España"
"451","Sant Sadurní d'Anoia",162,18.97,12887,679.34,41.426111111111,1.785,"España"
"452","Manresa",250,41.66,77714,1865.43,41.726388888889,1.8291666666667,"España"
"453","Cortegana",689,174,4666,26.82,37.9093023,-6.8196169,"España"
"454","Galaroza",568,22.27,1379,61.92,37.927777777778,-6.7083333333333,"España"
"455","San Miguel de Abona",580,42.04,20886,496.81,28.0975,-16.617222,"España"
"456","Villafranca del Bierzo",500,177,2899,16.38,42.6075,-6.8075,"España"
"457","La Puerta de Segura",585,98,2268,23.14,38.349681,-2.736619,"España"
"458","Agramunt",337,79.7,5371,67.39,41.786289,1.096388,"España"
"459","Arévalo",820,45.71,7986,174.71,41.066666666667,-4.7166666666667,"España"
"460","Camponaraya",489,29.13,4096,140.61,42.580555555556,-6.6702777777778,"España"
"461","La Bañeza",772,19.71,10338,524.51,42.2975,-5.9016666666667,"España"
"462","Lena",306,315.51,10890,34.52,43.0830515,-5.79222323497,"España"
"463","Medina del Campo",720,153.27,20510,133.82,41.3085254,-4.9150523,"España"
"464","Monforte de Lemos",360,199.52,18433,92.39,42.516388888889,-7.5161111111111,"España"
"465","Rueda",724,90.5,1254,13.86,41.413888888889,-4.9597222222222,"España"
"466","Vilalba",917,25.22,63679,2524.94,40.645277777778,-3.9913888888889,"España"
"467","Estella/Lizarra",421,15.39,13810,897.34,42.666666666667,-2.0166666666667,"España"
"468","Carbajosa de la Sagrada",789,13.71,7116,519.04,40.933055555556,-5.6513888888889,"España"
"469","Castell-Platja d'Aro",4,21.68,10860,500.92,41.819166666667,3.0683333333333,"España"
"470","Burela",25,7.78,9588,1232.39,43.6604617,-7.3582092,"España"
"471","Castilfalé",819,25.9,69,2.66,42.219444444444,-5.4222222222222,"España"
"472","Salou",5,15.1,27476,1819.6,41.07964,1.13163,"España"
"473","Faro",10,202.6,411468,289,37.016666666667,-7.9333333333333,"Portugal"
"474","Alcañiz",381,472.12,15947,33.78,41.050254,-0.1329565,"España"
"475","Azpeitia",80,69.39,14936,215.25,43.181944444444,-2.2652777777778,"España"
"476","Azkoitia",113,54.71,11633,212.63,43.179167,-2.310556,"España"
"477","Berlanga",936,220.18,856,3.89,41.465,-2.8611111111111,"España"
"478","Alanís",705,280.2,1746,0.01,38.03957,-5.709928,"España"
"479","Alcaudete",676,236.81,10498,44.33,37.5881403,-4.0812937,"España"
"480","Aljezur",33,323.5,5322,16,37.317778,-8.8,"Portugal"
"481","Cabeza del Buey",550,475.06,4864,10.24,38.721111111111,-5.2194444444444,"España"
"482","Castuera",512,432,5880,13.61,38.7229615,-5.5443352,"España"
"483","Coimbra",43,31.3,437642,427.08,40.211141,-8.429072,"Portugal"
"484","El Ronquillo",352,76.52,1364,17.83,37.725555555556,-6.1769444444444,"España"
"485","Elvas",340,631.04,22691,35.9,38.8909,-7.177,"Portugal"
"486","Guadalcanal",762,274.97,2706,9.67,38.092,-5.82117,"España"
"487","Guadalupe",640,68.2,1862,27.3,39.45,-5.3166666666667,"España"
"488","La Roca de la Sierra",248,109.6,1464,13.36,39.109108,-6.6901838,"España"
"489","Llerena",641,162,5804,35.83,38.2375,-6.0152777777778,"España"
"490","Puebla de Obando",378,23.6,1836,77.8,39.1776392,-6.6286402,"España"
"491","Villares de la Reina",818,21.81,6351,291.2,41.002777777778,-5.6333333333333,"España"
"492","Évora",295,1307.08,56596,43.3,38.5725,-7.9072222222222,"Portugal"
"493","La Victoria",262,20,2271,113.55,37.6814763,-4.8531255,"España"
"494","Andújar",212,964.9,36793,38.13,38.0392362,-4.0505603,"España"
"495","Los Villares",541,88.63,6014,67.86,37.689166666667,-3.8183333333333,"España"
"496","Cadaqués",23,25.73,2712,105.4,42.288611111111,3.2777777777778,"España"
"497","Tàrrega",373,88,17098,194.3,41.646388888889,1.1394444444444,"España"
"498","Medina de Pomar",607,205.78,5728,27.84,42.927777777778,-3.4866666666667,"España"
"499","Oña",598,161.64,1017,6.29,42.734722222222,-3.4138888888889,"España"
"500","Trespaderne",555,36.81,783,21.27,42.802222222222,-3.39,"España"
"501","Villalba de Duero",815,13.75,699,50.84,41.682222222222,-3.745,"España"
"502","Bocairent",680,97,4195,43.25,38.765833333333,-0.61277777777778,"España"
"503","Ontinyent",353,125.43,35347,281.81,38.822222222222,-0.60722222222222,"España"
"504","Xàtiva",115,76.56,29231,381.81,38.9887291,-0.5191539,"España"
"505","l'Olleria",250,32.2,8281,257.17,38.914166666667,-0.54944444444444,"España"
"506","Salt",83,6.6,31362,4751.82,41.976111111111,2.7880555555556,"España"
"507","el Prat de Llobregat",8,31.4,64599,2057.29,41.3246333,2.0952568,"España"
"508","Balmaseda",147,22.8,7697,337.59,43.195833333333,-3.1927777777778,"España"
"509","Getxo",47,11.89,77946,6555.59,43.344166666667,-3.0063888888889,"España"
"510","Leioa",31,8.36,31795,3803.23,43.328888888889,-2.9847222222222,"España"
"511","Hamburg",6,755.3,1822000,2355,53.55,10,"Alemania"
"512","Monção",18,211.3,19230,91,42.073333,-8.48,"Portugal"
