"","Nombre","Altitud(msnm)","Superficie(km2)","Poblacion(hab)","Densidad_pob(hab/km2)","Latitud","Longitud","Pais"
"5336","Saint-Jean",27,5.94,449,75.59,43.6653,1.505,"Francia"
"5337","Scuol",1290,144.14,2351,16.31,46.797,10.2995,"Suiza"
"5338","els Alamús",212,20.21,819,40.52,41.617777777778,0.74055555555556,"España"
"5339","la Vilella Baixa",220,5.6,202,36.07,41.22079,0.76162,"España"
"5340","Ayegui",489,9.61,2366,246.2,42.656666666667,-2.0383333333333,"España"
"5341","Gorliz",122,10.29,5785,562.2,43.416111111111,-2.9327777777778,"España"
"5342","Sant Antoni de Vilamajor",252,14,6135,438.21,41.672559,2.399991,"España"
"5343","Gerzat",327,16.28,10365,636.67,45.825833333333,3.1447222222222,"Francia"
"5344","Corera",523,8.2,257,31.34,42.342777777778,-2.2191666666667,"España"
"5345","la Figuera",575,18.7,111,5.94,41.21657,0.73116,"España"
"5346","Santiso",385,67.39,1584,23.5,42.87152435,-8.0645894209,"España"
"5347","Castellanos de Moriscos",835,13.84,2677,193.42,41.019722222222,-5.5925,"España"
"5348","Chemillé-en-Anjou",81,323.98,21492,66.03,47.214457,-0.65263,"Francia"
"5349","Pontonx-sur-l'Adour",27,49.42,2810,56.86,43.787777777778,-0.92611111111111,"Francia"
"5350","Newhaven CP",3,7.12,123669,2371,49.921666666667,1.0777777777778,"Reino Unido"
"5351","Càlig",122,27.5,1950,70.91,40.4619719,0.3548686,"España"
"5352","Pozoantiguo",715,37.68,224,5.94,41.5981471,-5.4338766,"España"
"5353","Gignac",65,29.85,5943,0.2,43.653658,3.551419,"Francia"
"5354","Viols-le-Fort",262,16.73,1211,72.38,43.743333333333,3.705,"Francia"
"5355","Saint-Macaire",20,1.79,2076,1159.78,44.566388888889,-0.22361111111111,"Francia"
"5356","Saint-Chamas",9,26.71,8574,321,43.550277777778,5.0347222222222,"Francia"
"5357","Santurde de Rioja",714,15.43,286,18.54,42.389444444444,-2.98,"España"
"5358","Hinojal",338,63,401,6.37,39.7069897,-6.3584871,"España"
"5359","Mainvilliers",165,11.92,11462,961.6,48.446666666667,1.4883333333333,"Francia"
"5360","Oliete",541,86,351,4.08,40.9935373,-0.6796425,"España"
"5361","Cànoves i Samalús",346,28.48,2995,0.11,41.694019,2.353008,"España"
"5362","Vitebsk",172,124.54,377960,3034.85,55.183333,30.166667,"Bielorrusia"
"5363","Mogilev",16,134.65,794288,5898.91,39.466666666667,-0.375,"Bielorrusia"
"5364","Orsha",180,36,116936,2325,54.509167,30.425833,"Bielorrusia"
"5365","Saus, Camallera i Llampaies",86,11.4,837,73.42,42.1318736,2.9808946,"España"
"5366","Bila Tserkva",148,67.84,208944,3094.6,49.795556,30.116667,"Ucrania"
"5367","Bellegarde-sur-Valserine",356,15.25,11675,765.57,46.1075,5.8258333333333,"Francia"
"5368","Saint-Jean-de-Gonville",516,12.36,1787,144.58,46.212777777778,5.9519444444444,"Francia"
"5369","Lecco",213,45.14,48177,1011,45.85,9.4,"Italia"
"5370","Alcanadre",348,31.08,643,20.69,42.405555555556,-2.1183333333333,"España"
"5371","Trabazos",681,93.45,878,9.4,41.747222222222,-6.4930555555556,"España"
"5372","Rzeszów",203,116.32,182548,1573.69,50.05,22,"Polonia"
"5373","gmina Zabierzów",16,134.65,794288,5898.91,39.466666666667,-0.375,"Polonia"
"5374","Leciñena",415,178.59,1155,6.47,41.7928309,-0.6139442,"España"
"5375","Palomero",453,20,406,20.3,40.2463948,-6.2764254,"España"
"5376","Mirepeix",256,3.29,1268,0.39,43.189257,-0.250214,"Francia"
"5377","Pozo de Guadalajara",910,11.43,1303,114,40.495,-3.1819444444444,"España"
"5378","Castenedolo",148,26,11482,356,45.4704,10.2967,"Italia"
"5379","Vlissingen",2,344.98,44417,1309,51.45,3.5833333333333,"Paises Bajos"
"5380","Vilajuïga",55,13.15,1112,0.08,42.330686,3.10532,"España"
"5381","Mengamuñoz",1312,11.75,59,5.02,40.5,-5,"España"
"5382","Valle Gran Rey",45,32.36,4564,141.04,28.116666666667,-17.316666666667,"España"
"5383","Grandate",294,2.75,2856,1.064,45.783333333333,9.0666666666667,"Italia"
"5384","Monza",173,33.03,122728,3704,45.584722222222,9.2736111111111,"Italia"
"5385","Saleilles",16,6.12,5282,863.07,42.654166666667,2.9516666666667,"Francia"
"5386","Tiebas-Muruarte de Reta",575,21.7,606,27.93,42.693055555556,-1.6402777777778,"España"
"5387","Carcedo de Burgos",990,25.68,399,15.54,42.285833333333,-3.6227777777778,"España"
"5388","Sainte-Foy-la-Grande",23,0.5,2554,5007.84,44.840555555556,0.21722222222222,"Francia"
"5389","La Tremblade",6,69.13,4336,62.72,45.769444444444,-1.1416666666667,"Francia"
"5390","Negueira de Muñiz",512,72.26,218,3.02,43.134649,-6.893735,"España"
"5391","Buñuel",242,36.16,2219,61.37,41.981388888889,-1.4408333333333,"España"
"5392","Jerez del Marquesado",1230,82.29,968,11.76,37.185277777778,-3.1577777777778,"España"
"5393","Ardon",591,48.65,533,10.96,46.774036,5.888948,"Francia"
"5394","Ingolstadt",375,133.35,136981,925,48.763611111111,11.426111111111,"Alemania"
"5395","Alfamén",373,102.25,1446,14.14,41.4383641,-1.2431728,"España"
"5396","Riells i Viabrea",487,26.53,4124,155.45,41.725013,2.558212,"España"
"5397","Villasequilla",525,77,2478,32.18,39.877222222222,-3.7294444444444,"España"
"5398","Quer",701,14.63,814,55.64,40.607777777778,-3.2766666666667,"España"
"5399","Kölleda",174,89.5,5508,0.06,51.195156,11.287537,"Alemania"
"5400","Arróniz",560,55.21,1051,19.04,42.5888239,-2.091308,"España"
"5401","Bouliac",60,7.48,3631,485.43,44.815,-0.50194444444444,"Francia"
"5402","Oliva de Plasencia",414,88.73,303,3.41,40.112222222222,-6.0869444444444,"España"
"5403","La Fresnais",7,14.43,2541,176.09,48.595555555556,-1.8433333333333,"Francia"
"5404","Le Kremlin-Bicêtre",62,1.54,2564,16450.65,48.812129,2.356812,"Francia"
"5405","Saint-Jean-le-Vieux",235,11.64,849,72.94,46.028333333333,5.3891666666667,"Francia"
"5406","Uhart-Cize",165,11.66,806,69.13,43.164722222222,-1.2444444444444,"Francia"
"5407","Mazan",281,37.92,6189,163.2,44.0564,5.12625,"Francia"
"5408","Barásoain",523,13.94,621,44.55,42.603611111111,-1.6463888888889,"España"
"5409","Olesa de Bonesvalls",265,41.8,1810,43.3,41.355277777778,1.8505555555556,"España"
"5410","Riu de Cerdanya",1173,12.36,93,7.52,42.3475,1.8275,"España"
"5411","Moià",715,75.83,619,0.08,41.81109,2.094776,"España"
"5412","Barreiro",8,33.81,78764,2337,38.660888888889,-9.0732777777778,"Portugal"
"5413","Destriana",877,56.22,479,8.52,42.3275,-6.0966666666667,"España"
"5414","Palacios de la Valduerna",794,20.42,379,18.56,42.327777777778,-5.9383333333333,"España"
"5415","Villasavary",131,33.08,1209,36.55,43.645277777778,0.58861111111111,"Francia"
"5416","Valpaços",424,548.7,16882,35,41.6,-7.3166666666667,"Portugal"
"5417","La Chapelle-sur-Erdre",26,33.42,19609,586.74,47.298888888889,-1.5527777777778,"Francia"
"5418","Toufflers",31,2.39,3905,1633.89,50.69,3.1816666666667,"Francia"
"5419","Chavannes-sur-l'Étang",195,6.04,693,114.74,45.106656,4.926941,"Francia"
"5420","Sochaux",319,2.17,3949,1819.82,47.514444444444,6.8313888888889,"Francia"
"5421","San Pedro Bercianos",823,23.51,238,10.12,42.391388888889,-5.7094444444444,"España"
"5422","Roncal/Erronkari",720,38.8,211,5.44,42.8075,-0.95583333333333,"España"
"5423","Villalobón",767,19,1690,88.95,42.029444444444,-4.5038888888889,"España"
"5424","Schoten",10,29.55,34462,1166,51.25,4.5,"Belgien"
"5425","Benissoda",319,4,430,107.5,38.8325,-0.53083333333333,"España"
"5426","Vilvestre",592,46.52,429,9.22,41.103055555556,-6.7186111111111,"España"
"5427","Larrabetzu",75,21.39,2033,95.04,43.2609468,-2.7959846,"España"
"5428","Clisson",39,11.3,7187,636.02,47.086944444444,-1.2836111111111,"Francia"
"5429","Morentin",536,8.94,129,14.43,42.614166666667,-2.0125,"España"
"5430","Mont-Dore",1031,35.87,1278,35.63,45.576388888889,2.8088888888889,"Francia"
"5431","Figueruela de Arriba",858,152.96,332,2.17,41.868611111111,-6.4430555555556,"España"
"5432","Le Crès",70,5.84,9321,1596.06,44.960277777778,14.408055555556,"Francia"
"5433","Galan",406,14.05,728,51.8,43.2211,0.416667,"Francia"
"5434","Amstetten (Stadt)",275,52.1,23656,454.05,48.116666666667,14.866666666667,"Austria"
"5435","Sablet",176,11.1,1284,115.68,44.1925,5.0055555555556,"Francia"
"5436","Érd",137,60.54,65857,1104.92,52.89436,29.60292,"Hungria"
"5437","Cubillas de Santa Marta",760,23.55,326,13.84,41.831666666667,-4.5991666666667,"España"
"5438","Cava de' Tirreni",180,36.46,53968,1.48,40.700833333333,14.705555555556,"Italia"
"5439","Sotteville-lès-Rouen",70,7.44,29009,3.9,49.53902,-1.753268,"Francia"
"5440","Tornavacas",871,76.6,1132,14.78,40.2556866,-5.6885137,"España"
"5441","Lingolsheim",149,5.69,18324,3220.39,48.5575,7.6830555555556,"Francia"
"5442","Castelnau-le-Lez",59,11.18,20480,1831.84,43.636111111111,3.9013888888889,"Francia"
"5443","Puget-Théniers",409,21.45,1880,87.65,43.956111111111,6.8936111111111,"Francia"
"5444","Rambouillet",159,35.19,26736,759.76,48.643611111111,1.83,"Francia"
"5445","Moissac",81,85.95,13039,151.7,44.104722222222,1.0852777777778,"Francia"
"5446","Torres de Segre",119,50.56,2277,45.04,41.534154,0.514291,"España"
"5447","Yaroslavl",100,205.37,608079,2349.3,57.616666666667,39.85,"Rusia"
"5448","Gémenos",142,32.75,6502,198.53,43.296111111111,5.6269444444444,"Francia"
"5449","Edemissen",66,103.79,12437,119.83,52.366666666667,10.266666666667,"Alemania"
"5450","Mealhada",48,111.14,20428,184.6,40.378055555556,-8.4513888888889,"Portugal"
"5451","Oliveira do Bairro",45,87.28,23028,242,40.515555555556,-8.4941666666667,"Portugal"
"5452","Saint-Brieuc",83,21.88,44372,2027.97,48.513611111111,-2.7602777777778,"Francia"
"5453","Siófok",124,124.66,25461,194.29,46.9,18.05,"Hungria"
"5454","Tarroja de Segarra",460,7.6,187,24.61,41.730522,1.274668,"España"
"5455","Trento",195,157,117185,740,46.06666667,11.11666667,"Italia"
"5456","Morales de Rey",722,20.14,577,28.65,42.067814,-5.7856032,"España"
"5457","Anoeta",77,4.14,2090,504.83,43.162222,-2.07,"España"
"5458","Trappes",170,13.47,32584,2419.01,48.776666666667,2.0016666666667,"Francia"
"5459","Les Lilas",125,1.26,23045,18289.68,48.88,2.4169444444444,"Francia"
"5460","Viana de Cega",693,17.98,2032,113.01,41.533055555556,-4.75,"España"
"5461","Montseny",528,27.02,342,12.66,41.75926,2.394888,"España"
"5462","Graz",353,127.58,289440,2268.69,47.066666666667,15.433333333333,"Austria"
"5463","Cabañas del Castillo",786,105.27,431,4.09,39.5474363,-5.5116665,"España"
"5464","Turcia",848,31.99,993,31.04,42.534722222222,-5.8761111111111,"Turquia"
"5465","Saint-Étienne-de-Baïgorry",24,69.44,1531,0.02,55.898555,-2.131562,"Francia"
"5466","Corbère",17,20.3,3100,152.71,39.158055555556,-0.35555555555556,"Francia"
"5467","Dozón",613,74.2,111,0.01,42.588668,-8.079258,"España"
"5468","Pollestres",53,8.3,4887,588.8,42.637777777778,2.8669444444444,"Francia"
"5469","Alella",90,9.58,9801,1023.07,41.495277777778,2.2958333333333,"España"
"5470","Valverdejo",868,32.47,93,2.86,39.6160306,-2.0237834,"España"
"5471","Zuya/Zuia",617,122.49,2302,18.79,42.98189485,-2.83254128146,"España"
"5472","Villamanrique de Tajo",546,28.9,703,24.33,40.068055555556,-3.2405555555556,"España"
"5473","Aulnat",324,4.21,4046,961.05,45.799166666667,3.1675,"Francia"
"5474","Le Bar-sur-Loup",336,14.47,2936,202.9,43.701388888889,6.9888888888889,"Francia"
"5475","Le Barcarès",1,11.65,5316,0.46,42.78773,3.036565,"Francia"
"5476","Léon",837,39.03,124303,3184.81,42.598888888889,-5.5669444444444,"Francia"
"5477","Saint-Uze",253,10.1,2068,204.8,45.1844,4.86111,"Francia"
"5478","Sant Pere Pescador",5,18.5,2042,110.38,42.1899836,3.0837479,"España"
"5479","Vialas",614,49.77,432,8.68,44.333611111111,3.8958333333333,"Francia"
"5480","les Planes d'Hostoles",370,37.5,1683,44.88,42.0565983,2.5384283,"España"
"5481","Pina de Montalgrao",1039,31.6,111,3.51,40.0210671,-0.6549815,"España"
"5482","Ibarra",92,5.03,4237,842.3,43.1323,-2.06546,"España"
"5483","San Silvestre de Guzmán",34,49,623,12.71,37.3894253,-7.3478655,"España"
"5484","Villoria",818,31.65,1351,42.69,40.994444444444,-5.3747222222222,"España"
"5485","Rust",169,13.27,4285,322.91,47.800833333333,16.675833333333,"Alemania"
"5486","Villadiego",840,327.96,1492,4.55,42.515833333333,-4.01,"España"
"5487","Munébrega",749,40.99,371,9.05,41.2515172,-1.7052452,"España"
"5488","Mozoncillo",857,42.74,902,21.1,41.147777777778,-4.1861111111111,"España"
"5489","Debica",144,34.14,47234,1.38,51.649832,22.569199,"Polonia"
"5490","Gliwice",219,133.88,186347,0,50.29761,18.67658,"Polonia"
"5491","Jaroslaw",195,34.61,3897,1.13,50.0306,22.6728,"Polonia"
"5492","Manzanilla",164,40,2135,53.38,37.3887479,-6.4316237,"España"
"5493","Eaux-Bonnes",733,38.52,243,6.31,42.973055555556,-0.39194444444444,"Francia"
"5494","San Sebastián de los Ballesteros",311,11.84,808,68.24,37.6535266,-4.8240997,"España"
"5495","Châteaurenard",49,34.95,15624,0.45,43.881959,4.85536,"Francia"
"5496","Ceinos de Campos",765,36.1,211,5.84,42.0325,-5.1491666666667,"España"
"5497","Almoines",34,2.1,2414,1149.52,38.943333333333,-0.18222222222222,"España"
"5498","Casserres",617,29.5,1608,54.51,42.015,1.8433333333333,"España"
"5499","Villarrodrigo",862,78,405,5.19,38.4870974,-2.6361123,"España"
"5500","Jadraque",830,38.91,1413,36.31,40.926666666667,-2.9236111111111,"España"
"5501","Aldealcorvo",759,6.11,22,3.6,41.243888888889,-3.7919444444444,"España"
"5502","Sertã",228,453.13,15880,35.55,39.8008,-8.1002805555556,"Portugal"
"5503","Uzhhorod",169,31.56,114897,1200,48.623889,22.295,"Ucrania"
"5504","Barruecopardo",730,37.85,450,11.89,41.0725,-6.6627777777778,"España"
"5505","Higuera de Llerena",519,113.4,347,3.06,38.377222222222,-5.9994444444444,"España"
"5506","Peschiera del Garda",80,17.63,10583,558.3,45.438611111111,10.688611111111,"Italia"
"5507","Epalinges",785,4.57,9011,1971.77,46.55,6.6666666666667,"Suiza"
"5508","Gyor",122,174.6,129435,0.74,47.687609,17.634681,"Hungria"
"5509","La Bâtie-Neuve",855,27.99,2487,0.09,44.5667,6.19583,"Francia"
"5510","Guarrate",734,31.6,327,10.35,41.290833333333,-5.44,"España"
"5511","Arbo",257,43.3,2580,59.58,42.1122944,-8.3123868,"España"
"5512","Riotuerto",70,30.48,1601,52.53,43.353333333333,-3.7047222222222,"España"
"5513","Leukerbad",1402,67.24,1475,21.94,46.383333333333,7.6333333333333,"Suiza"
"5514","Píñar",950,125.72,1138,9.05,37.4425,-3.4405555555556,"España"
"5515","Campaspero",919,46.56,1079,23.17,41.491666666667,-4.1944444444444,"España"
"5516","Fompedraza",889,16.38,99,6.04,41.536111111111,-4.1458333333333,"España"
"5517","Mata de Cuéllar",753,20.08,266,13.25,41.396388888889,-4.4713888888889,"España"
"5518","Aigues-Mortes",5,57.78,8325,144.08,43.566666666667,4.1925,"Francia"
"5519","Camerano",151,19.81,7218,360.52,43.52774,13.55257,"Italia"
"5520","Saint-Saturnin-lès-Avignon",24,6.25,4819,0.77,55.898555,-2.131562,"Francia"
"5521","Siena",322,118,53772,461.14,43.318333333333,11.331388888889,"Italia"
"5522","la Fatarella",600,56.5,941,16.65,41.16228,0.47337,"España"
"5523","Escatrón",143,94.64,1051,11.11,41.2870067,-0.3250665,"España"
"5524","Garrafe de Torío",920,125.27,1504,12.01,42.733333333333,-5.5166666666667,"España"
"5525","La Vecilla",1012,44.29,386,8.72,42.848888888889,-5.4055555555556,"España"
"5526","Matallana de Torío",988,73.45,1270,17.29,42.843611111111,-5.4977777777778,"España"
"5527","Sèvremoine",48,213.23,25414,119.28,48.114166666667,-1.6808333333333,"Francia"
"5528","Sotorribas",991,149.33,732,4.9,40.194444444444,-2.1627777777778,"España"
"5529","Vegaviana",265,23.06,864,37.47,40.0404335,-6.7178389,"España"
"5530","Laloubère",336,4.05,1902,0.47,43.20476,0.074253,"Francia"
"5531","Miralcamp",287,14.8,1351,91.28,41.606388888889,0.88138888888889,"España"
"5532","Castejón de Monegros",466,165.3,522,3.16,41.6187532,-0.2342214,"España"
"5533","Godelleta",266,37.5,3533,94.21,39.425,-0.68611111111111,"España"
"5534","Montalegre",811,177.79,2051,11.54,38.7873614,-1.3248425,"Portugal"
"5535","Navas de Riofrío",1104,14.86,394,26.51,40.864166666667,-4.1377777777778,"España"
"5536","Satu Mare",122,150.3,102411,756,47.79,22.89,"Rumania"
"5537","La Fregeneda",527,45.16,348,7.71,40.987777777778,-6.8672222222222,"España"
"5538","Condado de Treviño",568,260.71,1342,5.15,42.734722222222,-2.7472222222222,"España"
"5539","Viacamp y Litera",602,107.7,36,0.33,42.128333333333,0.61472222222222,"España"
"5540","Amusquillo",776,15.89,103,6.48,41.748611111111,-4.3011111111111,"España"
"5541","Alfarnate",886,33.99,1069,31.45,36.9942627,-4.2604149,"España"
"5542","Fuentecén",820,17.047,212,12.44,41.628333333333,-3.8694444444444,"España"
"5543","Baños de Valdearados",890,36.52,324,8.87,41.769722222222,-3.5561111111111,"España"
"5544","Etxauri",412,13.64,650,47.65,42.793888888889,-1.79,"España"
"5545","Badaroux",810,20.72,969,46.77,44.536666666667,3.55,"Francia"
"5546","Brunoy",54,6.62,25669,3877.49,48.698055555556,2.5033333333333,"Francia"
"5547","Le Pouzin",95,12.52,2879,229.95,44.753333333333,4.7477777777778,"Francia"
"5548","Montbartier",135,15.01,1331,88.67,43.912777777778,1.2727777777778,"Francia"
"5549","Schwäbisch Gmünd",435,113.8,61186,537.76,48.8,9.8,"Alemania"
"5550","Sayalonga",359,18.3,1681,91.86,36.798055555556,-4.0119444444444,"España"
"5551","La Grande-Motte",7,10.58,8820,833.65,43.560555555556,4.085,"Francia"
"5552","Melgar de Yuso",749,26.58,251,9.44,42.253333333333,-4.2544444444444,"España"
"5553","Dorohoi",150,60.39,24309,405.15,47.959722222222,26.399722222222,"Rumania"
"5554","Miramont-de-Guyenne",60,16.66,3154,189.32,44.601666666667,0.36111111111111,"Francia"
"5555","Monsempron-Libos",111,9.05,2091,231.05,44.490833333333,0.94083333333333,"Francia"
"5556","Vozmediano",893,16.61,38,2.29,41.839166666667,-1.8569444444444,"España"
"5557","Hoya-Gonzalo",930,114.57,647,5.65,38.9577865,-1.5561143,"España"
"5558","Le Cannet",83,7.71,41471,5378.86,43.576111111111,7.0186111111111,"Francia"
"5559","Binaced",279,78.49,1575,20.07,41.825643,0.202301,"España"
"5560","Flensburg",13,56.74,89504,1.515,54.781944444444,9.4366666666667,"Alemania"
"5561","Spa",37,39.85,10549,264.8,50.4833,5.86667,"Belgien"
"5562","Conca de Dalt",767,165.8,418,2.52,42.2496022,0.968455741,"España"
"5563","Seedorf",452,15.62,1587,101.6,53.616666666667,10.866666666667,"Alemania"
"5564","Beveren",15,150.18,48192,320.89,51.2,4.25,"Belgien"
"5565","Guisando",760,37.38,497,13.3,40.221666666667,-5.1397222222222,"España"
"5566","Maraussan",43,12.37,4414,356.83,43.366666666667,3.1577777777778,"Francia"
"5567","la Galera",120,27.5,731,26.58,40.68178,0.46325,"España"
"5568","Peñarrubia",500,54.28,319,5.88,43.255833333333,-4.5786111111111,"España"
"5569","Juià",94,8.38,323,38.54,42.017529,2.90749,"España"
"5570","Lora de Estepa",452,18.09,862,47.65,37.268611111111,-4.8277777777778,"España"
"5571","Harsewinkel",65,100.59,25147,236.49,51.966666666667,8.2330555555556,"Alemania"
"5572","Serra de Daró",15,23.72,221,9.32,42.029444444444,3.0736111111111,"España"
"5573","Douai",29,16.88,39700,2351.9,50.370833333333,3.0791666666667,"Francia"
"5574","Braunschweig",75,192.09,248292,1288.49,52.269166666667,10.521111111111,"Alemania"
"5575","Moclinejo",447,15,1271,84.73,36.7715912,-4.2554179,"España"
"5576","Borox",580,60.26,3825,63.47,40.069722222222,-3.74,"España"
"5577","Estillac",73,7.94,2007,252.77,44.168333333333,0.57777777777778,"Francia"
"5578","Samazan",72,17.25,884,51.25,44.433888888889,0.11222222222222,"Francia"
"5579","Bourrou",205,9.13,128,14.02,45.045277777778,0.59722222222222,"Francia"
"5580","Aschaffenburg",138,62.45,70527,1129.34,49.97575,9.1478,"Alemania"
"5581","Bourg-lès-Valence",528,20.3,20074,0.99,48.363935,7.131292,"Francia"
"5582","Gallargues-le-Montueux",38,10.89,3708,340.5,43.721111111111,4.1727777777778,"Francia"
"5583","Monthey",430,26.81,17512,653.19,46.25,6.95,"Suiza"
"5584","Padova",26,92,211560,2315.1,45.406388888889,11.877777777778,"Italia"
"5585","Puyloubier",350,40.85,1792,43.87,43.525,5.6769444444444,"Francia"
"5586","Saint-Pryvé-Saint-Mesmin",92,8.87,5803,654.23,47.880833333333,1.8677777777778,"Francia"
"5587","Varedo",183,4.84,13335,2.648,45.6,9.1666666666667,"Italia"
"5588","Tírvia",991,8.76,131,14.95,42.516944444444,1.2438888888889,"España"
"5589","Villamediana de Iregua",440,20.42,8070,395.2,42.426388888889,-2.4180555555556,"España"
"5590","Villaverde y Pasaconsol",863,21.05,332,15.77,39.770833333333,-2.265,"España"
"5591","Blaye",11,6.42,4835,753.12,45.127777777778,-0.66222222222222,"Francia"
"5592","Potries",12,3.07,1046,340.72,38.915277777778,-0.20444444444444,"España"
"5593","Otos",330,11.1,434,39.1,38.854166666667,-0.445,"España"
"5594","Karlsdorf-Neuthard",113,13.97,10705,764.1,49.136388888889,8.5438888888889,"Alemania"
"5595","Banyuls-dels-Aspres",115,10.53,1259,119.56,42.565833333333,2.8672222222222,"Francia"
"5596","Duingen",205,59.62,4906,82.29,52.005791666667,9.6970194444444,"Alemania"
"5597","Duisburg",35,232.8,498590,2096,51.432222222222,6.7611111111111,"Alemania"
"5598","Trouillas",98,17.01,2067,121.52,42.611388888889,2.8083333333333,"Francia"
"5599","Murla",283,5.81,470,80.9,38.759444444444,-0.083888888888889,"España"
"5600","Biel/Bienne",434,21.21,53667,2530.27,47.137222222222,7.2472222222222,"Suiza"
"5601","Grenchen",451,26.08,16480,631.9,47.193055555556,7.3958333333333,"Suiza"
"5602","Feria",11,73.72,115,15.95,38.512,-6.56434,"España"
"5603","Escañuela",316,13.9,950,68.35,37.879043,-4.0337321,"España"
"5604","Asnières-sur-Seine",217,4.82,86512,17.95,45.788195,5.111332,"Francia"
"5605","Cancon",153,24.49,135,54.72,44.535939,0.623217,"Francia"
"5606","Muelas de los Caballeros",985,71.58,172,2.4,42.1299928,-6.3353407,"España"
"5607","Figeac",199,35.16,9792,278.5,44.608611111111,2.0316666666667,"Francia"
"5608","Bazas",844,545,20412,37.45,37.4888637,-2.7709805,"Francia"
"5609","Mesas de Ibor",487,48.75,162,3.32,39.7553972,-5.5462458,"España"
"5610","Tiste",35,23.85,889,37.27,53.283333333333,9.5333333333333,"Alemania"
"5611","Palazuelos de Eresma",1079,36.7,5416,147.57,40.930277777778,-4.0611111111111,"España"
"5612","Berlare",7,37.82,14849,392.62,51,3.75,"Belgien"
"5613","Berdychiv",250,3533,76229,21.58,49.891944,28.6,"Ucrania"
"5614","Erlenstegener Forst",112,11.47,7836,683.2,49.1533,8.58417,"Alemania"
"5615","Dole",213,38.38,23708,617.72,47.092222222222,5.4897222222222,"Francia"
"5616","Abella de la Conca",954,78.21,179,2.29,42.161566,1.092022,"España"
"5617","Corrales",390,67.07,3987,59.4,37.0973,-4.98291,"España"
"5618","Olocau",200,37.4,1771,47.35,39.7,-0.53166666666667,"España"
"5619","Golosalvo",739,69.18,104,1.5,39.24,-1.6366666666667,"España"
"5620","Tragacete",1283,61.39,249,4.06,40.351111111111,-1.8497222222222,"España"
"5621","La Pernía",1180,165.67,320,1.93,42.964722222222,-4.4980555555556,"España"
"5622","Nettetal",52,83.64,42493,508.05,51.316666666667,6.2833333333333,"Alemania"
"5623","Bacau",167,43.1,591035,13.71,46.561685,26.910773,"Rumania"
"5624","Montarnaud",126,27.53,3754,136.36,43.648888888889,3.6988888888889,"Francia"
"5625","Montsaunès",233,57.32,17162,299.41,41.790401,0.805573,"Francia"
"5626","Nuits-Saint-Georges",242,20.5,5481,267.37,47.1375,4.9502777777778,"Francia"
"5627","Sauveterre",226,10.38,169,16.28,43.399444444444,-0.93972222222222,"Francia"
"5628","Olazti/Olazagutía",541,19.6,1489,75.97,42.877777777778,-2.1944444444444,"España"
"5629","Entrimo",508,84.52,1140,13.49,41.940833333333,-8.1408333333333,"España"
"5630","Carregal do Sal",313,113.8,9835,84.06,40.401111111111,-8.0472222222222,"Portugal"
"5631","Talveila",1064,52.97,105,1.98,41.783888888889,-2.9666666666667,"España"
"5632","Avallon",259,26.75,6572,245.68,47.49,3.9083333333333,"Francia"
"5633","Châtel-Censoir",1257,24.62,641,26.04,46.267674,6.840875,"Francia"
"5634","Diemen",631,14.04,29196,2.167,52.341,4.96335,"Paises Bajos"
"5635","Balaruc-le-Vieux",20,5.92,2628,443.92,43.460277777778,3.6847222222222,"Francia"
"5636","Baho",54,7.9,3217,407.22,42.700277777778,2.8225,"Francia"
"5637","Uclés",863,64.61,222,3.44,39.981944444444,-2.8622222222222,"España"
"5638","Valdeavellano de Tera",1139,19.46,191,9.82,41.9425,-2.575,"España"
"5639","Royan",25,19.3,18398,953.26,45.623055555556,-1.0430555555556,"Francia"
"5640","Jelenia Góra",340,109.2,84306,772.03,50.9,15.733333333333,"Polonia"
"5641","Pluvigner",88,82.83,7543,91.07,47.775833333333,-3.0102777777778,"Francia"
"5642","Condé-en-Normandie",164,62.98,6912,109.7,48.8508,-0.55,"Francia"
"5643","Montbrison",394,16.33,15641,957.81,45.6075,4.0652777777778,"Francia"
"5644","Las Valeras",875,112.96,1496,13.24,39.768611111111,-2.1580555555556,"España"
"5645","Masegoso",1200,103.87,110,1.06,38.72929915,-2.30732077312,"España"
"5646","Bono",9,5.96,2508,420.8,47.6403,-2.949,"Francia"
"5647","Aguaviva",549,42.15,514,12.19,40.823611111111,-0.1975,"España"
"5648","Friedrichshafen",406,69.91,60865,836,47.654166666667,9.4791666666667,"Alemania"
"5649","Arauzo de Miel",1019,57.1,306,5.36,41.86,-3.3877777777778,"España"
"5650","Titulcia",509,9.9,1313,132.63,40.136666666667,-3.57,"España"
"5651","Busto Arsizio",231,30,83314,2706,45.611958333333,8.8518,"Italia"
"5652","Cabannes",290,131.6,2958,22.48,40.154722222222,0.045277777777778,"Francia"
"5653","Châteauneuf-sur-Loire",361,40.01,8035,203.1,45.5242,4.640954,"Francia"
"5654","Coin-lès-Cuvry",109,6.65,694,104.36,36.671553,-4.764183,"Francia"
"5655","Lamotte-Beuvron",115,23.34,4724,202.4,47.602222222222,2.0247222222222,"Francia"
"5656","Llinars del Vallès",187,27.7,9838,0.36,41.639899,2.40168,"España"
"5657","Noisy-le-Grand",91,12.95,68183,5265.1,48.843888888889,2.5580555555556,"Francia"
"5658","Plouha",94,39.97,4503,112.66,48.675555555556,-2.9294444444444,"Francia"
